Date;Open;High;Low;Last Close;Chg.%;
"01/03/2000";"1197.69";"1228.25";"1197.46";"1204.88";"+0.59%";
"01/04/2000";"1203.95";"1204.81";"1189.82";"1194.41";"-0.87%";
"01/05/2000";"1194.28";"1194.28";"1170.15";"1192.89";"-0.13%";
"01/07/2000";"1192.90";"1227.14";"1192.90";"1223.61";"+2.58%";
"01/10/2000";"1224.01";"1238.36";"1224.01";"1236.09";"+1.02%";
"01/11/2000";"1236.09";"1238.98";"1224.16";"1225.68";"-0.84%";
"01/12/2000";"1225.18";"1225.18";"1201.73";"1206.27";"-1.58%";
"01/13/2000";"1206.21";"1212.58";"1198.23";"1201.93";"-0.36%";
"01/14/2000";"1201.93";"1211.12";"1199.10";"1205.32";"+0.28%";
"01/17/2000";"1205.56";"1211.73";"1187.97";"1193.62";"-0.97%";
"01/18/2000";"1193.14";"1193.54";"1164.39";"1164.86";"-2.41%";
"01/19/2000";"1165.00";"1168.86";"1158.43";"1168.75";"+0.33%";
"01/20/2000";"1168.54";"1174.76";"1160.24";"1160.60";"-0.70%";
"01/21/2000";"1159.77";"1159.77";"1136.10";"1147.50";"-1.13%";
"01/24/2000";"1147.76";"1184.10";"1146.19";"1168.81";"+1.86%";
"01/25/2000";"1166.67";"1166.67";"1141.56";"1142.52";"-2.25%";
"01/26/2000";"1142.11";"1150.30";"1133.83";"1145.91";"+0.30%";
"01/27/2000";"1145.84";"1152.78";"1141.17";"1149.17";"+0.28%";
"01/28/2000";"1148.54";"1161.06";"1141.93";"1154.89";"+0.50%";
"01/31/2000";"1154.39";"1154.39";"1125.19";"1126.01";"-2.50%";
"02/01/2000";"1126.01";"1126.49";"1099.09";"1099.09";"-2.39%";
"02/02/2000";"1098.85";"1114.37";"1093.71";"1101.89";"+0.25%";
"02/03/2000";"1102.80";"1109.39";"1096.60";"1102.16";"+0.02%";
"02/04/2000";"1102.09";"1110.63";"1050.96";"1064.03";"-3.46%";
"02/07/2000";"1063.68";"1065.84";"1044.43";"1050.54";"-1.27%";
"02/08/2000";"1050.22";"1090.35";"1050.15";"1085.86";"+3.36%";
"02/09/2000";"1086.26";"1116.56";"1086.26";"1104.32";"+1.70%";
"02/10/2000";"1104.52";"1109.76";"1098.01";"1098.33";"-0.54%";
"02/11/2000";"1098.14";"1114.65";"1098.14";"1111.96";"+1.24%";
"02/14/2000";"1111.96";"1133.93";"1104.85";"1130.04";"+1.63%";
"02/15/2000";"1130.11";"1138.42";"1102.53";"1110.06";"-1.77%";
"02/16/2000";"1110.42";"1123.36";"1110.01";"1118.64";"+0.77%";
"02/17/2000";"1118.61";"1124.25";"1103.90";"1105.08";"-1.21%";
"02/18/2000";"1105.41";"1115.15";"1103.81";"1115.15";"+0.91%";
"02/21/2000";"1115.11";"1115.11";"1087.05";"1090.17";"-2.24%";
"02/22/2000";"1089.66";"1102.58";"1085.31";"1089.52";"-0.06%";
"02/23/2000";"1089.52";"1104.04";"1088.34";"1097.19";"+0.70%";
"02/24/2000";"1097.30";"1103.57";"1080.56";"1085.49";"-1.07%";
"02/25/2000";"1085.23";"1095.66";"1082.96";"1089.04";"+0.33%";
"02/28/2000";"1089.13";"1089.13";"1068.99";"1087.82";"-0.11%";
"02/29/2000";"1087.32";"1101.98";"1087.32";"1094.62";"+0.63%";
"03/01/2000";"1094.59";"1097.49";"1077.68";"1084.12";"-0.96%";
"03/02/2000";"1083.64";"1090.90";"1072.93";"1086.47";"+0.22%";
"03/03/2000";"1086.60";"1090.70";"1058.92";"1067.44";"-1.75%";
"03/06/2000";"1067.26";"1074.32";"1035.90";"1036.24";"-2.92%";
"03/07/2000";"1034.84";"1037.03";"1018.71";"1029.37";"-0.66%";
"03/08/2000";"1029.09";"1051.23";"1023.45";"1051.18";"+2.12%";
"03/09/2000";"1051.03";"1068.87";"1048.75";"1056.57";"+0.51%";
"03/10/2000";"1056.65";"1090.98";"1056.30";"1090.08";"+3.17%";
"03/13/2000";"1089.99";"1100.76";"1071.31";"1080.57";"-0.87%";
"03/14/2000";"1080.30";"1095.35";"1080.30";"1093.45";"+1.19%";
"03/15/2000";"1092.85";"1097.87";"1073.54";"1097.87";"+0.40%";
"03/16/2000";"1098.28";"1115.66";"1098.28";"1112.33";"+1.32%";
"03/17/2000";"1112.25";"1127.24";"1085.64";"1093.36";"-1.71%";
"03/20/2000";"1093.53";"1112.12";"1092.32";"1108.24";"+1.36%";
"03/21/2000";"1108.37";"1108.81";"1089.43";"1098.91";"-0.84%";
"03/22/2000";"1098.69";"1105.98";"1092.32";"1104.47";"+0.51%";
"03/23/2000";"1104.30";"1111.80";"1100.04";"1106.10";"+0.15%";
"03/24/2000";"1104.80";"1127.40";"1103.89";"1127.37";"+1.92%";
"03/27/2000";"1127.36";"1130.34";"1121.59";"1129.93";"+0.23%";
"03/28/2000";"1129.83";"1135.92";"1116.54";"1120.70";"-0.82%";
"03/29/2000";"1119.51";"1120.48";"1110.19";"1113.63";"-0.63%";
"03/30/2000";"1113.63";"1123.14";"1108.38";"1115.28";"+0.15%";
"03/31/2000";"1114.85";"1130.76";"1100.98";"1130.07";"+1.33%";
"04/03/2000";"1129.68";"1136.59";"1119.68";"1122.71";"-0.65%";
"04/04/2000";"1122.42";"1124.01";"1116.22";"1122.71";"0.00%";
"04/05/2000";"1122.19";"1125.94";"1090.43";"1106.74";"-1.42%";
"04/06/2000";"1106.90";"1116.80";"1106.21";"1114.42";"+0.69%";
"04/07/2000";"1114.42";"1120.59";"1112.31";"1116.05";"+0.15%";
"04/10/2000";"1116.34";"1122.78";"1113.99";"1117.34";"+0.12%";
"04/11/2000";"1117.68";"1118.12";"1104.93";"1109.35";"-0.72%";
"04/12/2000";"1109.52";"1121.14";"1108.54";"1120.58";"+1.01%";
"04/13/2000";"1122.01";"1130.44";"1113.15";"1121.58";"+0.09%";
"04/14/2000";"1121.38";"1138.97";"1118.60";"1130.66";"+0.81%";
"04/17/2000";"1127.71";"1131.38";"1104.32";"1127.85";"-0.25%";
"04/18/2000";"1127.84";"1136.71";"1116.37";"1121.34";"-0.58%";
"04/19/2000";"1121.67";"1127.27";"1114.19";"1123.69";"+0.21%";
"04/20/2000";"1123.42";"1124.41";"1116.18";"1123.56";"-0.01%";
"04/25/2000";"1123.55";"1142.25";"1119.42";"1141.43";"+1.59%";
"04/26/2000";"1141.61";"1150.14";"1139.66";"1147.46";"+0.53%";
"04/27/2000";"1147.38";"1158.57";"1135.80";"1142.13";"-0.46%";
"04/28/2000";"1142.88";"1151.47";"1132.48";"1132.48";"-0.84%";
"05/02/2000";"1132.34";"1141.02";"1130.53";"1133.93";"+0.13%";
"05/03/2000";"1133.87";"1137.21";"1122.42";"1129.76";"-0.37%";
"05/04/2000";"1128.83";"1131.41";"1124.18";"1128.01";"-0.15%";
"05/05/2000";"1127.95";"1133.16";"1124.93";"1128.21";"+0.02%";
"05/08/2000";"1127.44";"1138.77";"1127.44";"1137.68";"+0.84%";
"05/09/2000";"1137.68";"1143.97";"1131.38";"1141.21";"+0.31%";
"05/10/2000";"1141.21";"1151.31";"1140.56";"1147.05";"+0.51%";
"05/11/2000";"1147.30";"1150.61";"1139.81";"1149.03";"+0.17%";
"05/12/2000";"1148.96";"1154.05";"1144.37";"1145.26";"-0.33%";
"05/15/2000";"1145.63";"1146.37";"1134.92";"1134.92";"-0.90%";
"05/16/2000";"1135.28";"1147.43";"1134.61";"1144.15";"+0.81%";
"05/17/2000";"1144.40";"1148.22";"1136.76";"1140.70";"-0.30%";
"05/18/2000";"1141.05";"1142.01";"1131.74";"1138.53";"-0.19%";
"05/19/2000";"1139.01";"1142.26";"1134.70";"1137.44";"-0.10%";
"05/22/2000";"1138.04";"1138.04";"1123.71";"1125.72";"-1.03%";
"05/23/2000";"1126.30";"1138.40";"1123.35";"1137.23";"+1.02%";
"05/24/2000";"1134.70";"1134.70";"1122.91";"1129.04";"-0.72%";
"05/25/2000";"1129.97";"1139.83";"1129.01";"1138.80";"+0.86%";
"05/26/2000";"1138.80";"1138.80";"1129.36";"1132.15";"-0.58%";
"05/29/2000";"1131.93";"1134.45";"1129.81";"1131.78";"-0.03%";
"05/30/2000";"1132.85";"1138.22";"1129.95";"1136.96";"+0.46%";
"05/31/2000";"1137.24";"1139.44";"1128.58";"1131.07";"-0.52%";
"06/02/2000";"1130.82";"1139.12";"1129.27";"1134.47";"+0.30%";
"06/05/2000";"1134.64";"1146.47";"1134.64";"1146.07";"+1.02%";
"06/06/2000";"1146.55";"1156.20";"1143.32";"1155.96";"+0.86%";
"06/07/2000";"1155.63";"1163.07";"1152.64";"1161.31";"+0.46%";
"06/08/2000";"1161.37";"1166.53";"1159.86";"1165.72";"+0.38%";
"06/09/2000";"1165.96";"1169.97";"1164.05";"1169.26";"+0.30%";
"06/13/2000";"1169.40";"1171.20";"1161.60";"1161.60";"-0.66%";
"06/14/2000";"1161.60";"1164.87";"1156.07";"1160.33";"-0.11%";
"06/15/2000";"1160.81";"1162.94";"1145.02";"1145.02";"-1.32%";
"06/16/2000";"1144.96";"1146.23";"1134.67";"1134.67";"-0.90%";
"06/19/2000";"1134.67";"1146.46";"1132.71";"1133.16";"-0.13%";
"06/20/2000";"1133.16";"1136.73";"1131.55";"1136.01";"+0.25%";
"06/21/2000";"1136.38";"1138.42";"1126.96";"1130.93";"-0.45%";
"06/23/2000";"1131.02";"1137.61";"1124.44";"1137.11";"+0.55%";
"06/26/2000";"1137.38";"1138.29";"1132.62";"1134.58";"-0.22%";
"06/27/2000";"1134.97";"1137.24";"1128.06";"1131.52";"-0.27%";
"06/28/2000";"1130.44";"1131.49";"1122.88";"1130.82";"-0.06%";
"06/29/2000";"1131.34";"1132.64";"1122.67";"1126.35";"-0.40%";
"06/30/2000";"1126.17";"1130.12";"1118.45";"1129.58";"+0.29%";
"07/03/2000";"1129.78";"1131.73";"1121.24";"1125.92";"-0.32%";
"07/04/2000";"1125.92";"1125.92";"1119.05";"1125.08";"-0.07%";
"07/05/2000";"1125.08";"1126.46";"1109.80";"1117.58";"-0.67%";
"07/06/2000";"1117.04";"1117.04";"1101.59";"1106.31";"-1.01%";
"07/07/2000";"1105.74";"1105.74";"1089.84";"1103.97";"-0.21%";
"07/10/2000";"1103.97";"1104.53";"1092.84";"1095.60";"-0.76%";
"07/11/2000";"1096.74";"1097.09";"1090.47";"1096.07";"+0.04%";
"07/12/2000";"1096.00";"1101.10";"1093.40";"1100.47";"+0.40%";
"07/13/2000";"1100.03";"1101.84";"1094.60";"1097.73";"-0.25%";
"07/14/2000";"1098.37";"1098.63";"1092.04";"1096.88";"-0.08%";
"07/17/2000";"1096.76";"1096.97";"1088.24";"1094.30";"-0.24%";
"07/18/2000";"1094.30";"1094.80";"1081.79";"1087.33";"-0.64%";
"07/19/2000";"1064.21";"1079.33";"1064.21";"1075.96";"-1.05%";
"07/20/2000";"1095.30";"1109.44";"1093.81";"1108.44";"+3.02%";
"07/21/2000";"1108.61";"1124.88";"1106.12";"1116.78";"+0.75%";
"07/24/2000";"1116.84";"1167.30";"1114.43";"1150.03";"+2.98%";
"07/25/2000";"1150.07";"1150.70";"1134.92";"1147.12";"-0.25%";
"07/26/2000";"1147.35";"1151.98";"1142.00";"1143.31";"-0.33%";
"07/27/2000";"1143.58";"1147.09";"1139.63";"1142.59";"-0.06%";
"07/28/2000";"1142.03";"1147.06";"1138.37";"1139.08";"-0.31%";
"07/31/2000";"1138.10";"1143.32";"1132.34";"1142.40";"+0.29%";
"08/01/2000";"1142.33";"1158.82";"1141.29";"1158.51";"+1.41%";
"08/02/2000";"1158.04";"1165.94";"1157.38";"1165.92";"+0.64%";
"08/03/2000";"1165.55";"1169.68";"1155.77";"1158.28";"-0.66%";
"08/04/2000";"1158.47";"1164.18";"1158.47";"1162.43";"+0.36%";
"08/07/2000";"1162.43";"1179.30";"1159.45";"1179.18";"+1.44%";
"08/08/2000";"1179.28";"1190.69";"1177.43";"1188.27";"+0.77%";
"08/09/2000";"1188.01";"1189.09";"1179.61";"1180.93";"-0.62%";
"08/10/2000";"1181.79";"1184.23";"1167.78";"1178.25";"-0.23%";
"08/11/2000";"1178.25";"1178.70";"1172.47";"1174.58";"-0.31%";
